% Model:              sjngle_small_gate_2deg_jnalas_semj_ec.mph
% Versjon:            COMSOL 6.1.0.357
% Date:               Jul 7 2023, 14:05
% Table:              Admjttance, Harmonjc Perturbatjon - 
% Vdc (V)                                         Vs_on                                             Vd_on                                             Vg_on                                             freq (Hz)                                         Tref (K)                                          ljndev(semj.I0_1) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_3) (S)
0                                                 0                                                 0                                                 1                                                 5.6E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -5.09948861485614E-9-5.968293357957425E-6j        nan+nan*1j                                         nan+nan*1j                                         -5.099500150356032E-9-5.9682933785807084E-6j      -nan-nan*1j                                        -nan-nan*1j                                        1.0198908509525397E-8+1.1936586720047516E-5j
0                                                 0                                                 0                                                 1                                                 6.0E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -5.720777103475906E-9-6.394485743342432E-6j       nan+nan*1j                                         nan+nan*1j                                         -5.7207826255384245E-9-6.394485756170649E-6j      -nan-nan*1j                                        -nan-nan*1j                                        1.1441395122007904E-8+1.2788971471514647E-5j
0                                                 0                                                 0                                                 1                                                 6.4E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -6.3763624049291064E-9-6.8206653300569985E-6j     nan+nan*1j                                         nan+nan*1j                                         -6.376375623392144E-9-6.820665353863773E-6j       -nan-nan*1j                                        -nan-nan*1j                                        1.2752578569736755E-8+1.3641330667072312E-5j
0                                                 0                                                 0                                                 1                                                 6.8E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -7.066114848186794E-9-7.246831846062969E-6j       nan+nan*1j                                         nan+nan*1j                                         -7.066142392657702E-9-7.246831892866236E-6j       -nan-nan*1j                                        -nan-nan*1j                                        1.4132057064875799E-8+1.4493663723510116E-5j
0                                                 0                                                 0                                                 1                                                 7.2E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -7.789756663779314E-9-7.672984969006915E-6j       nan+nan*1j                                         nan+nan*1j                                         -7.789810867499733E-9-7.67298505896881E-6j        -nan-nan*1j                                        -nan-nan*1j                                        1.5579393828767475E-8+1.5345970014338665E-5j
0                                                 0                                                 0                                                 1                                                 7.6E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -8.547007183840258E-9-8.099124429817668E-6j       nan+nan*1j                                         nan+nan*1j                                         -8.547037394413852E-9-8.099124471911992E-6j       -nan-nan*1j                                        -nan-nan*1j                                        1.7094117277027626E-8+1.6198248875405927E-5j
0                                                 0                                                 0                                                 1                                                 8.0E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -9.337718479128023E-9-8.525249796723017E-6j       nan+nan*1j                                         nan+nan*1j                                         -9.33774501198982E-9-8.525249837108576E-6j        -nan-nan*1j                                        -nan-nan*1j                                        1.867571894318311E-8+1.7050499611455E-5j
-0.25                                             1                                                 0                                                 0                                                 4.0E9                                             50                                                1.2066668020172413E-4+4.367819346729389E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.2052887068076831E-4-4.3262636281336006E-4j     nan+nan*1j                                         nan+nan*1j                                         -1.3783826614714077E-7-4.155569109153774E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 4.4E9                                             50                                                1.4259406534415287E-4+4.718903327273658E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.424323180073999E-4-4.6733082366295675E-4j      nan+nan*1j                                         nan+nan*1j                                         -1.617710338207321E-7-4.559508326694584E-6j       nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 4.8E9                                             50                                                1.6546806652030686E-4+5.050470624072634E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.6528175593429151E-4-5.000862057444993E-4j      nan+nan*1j                                         nan+nan*1j                                         -1.8635486697323413E-7-4.960857727406982E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 5.2E9                                             50                                                1.8907786028560318E-4+5.362531021832766E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -1.8886660544622556E-4-5.308934545161959E-4j      nan+nan*1j                                         nan+nan*1j                                         -2.112934873413627E-7-5.3596398007388896E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 5.6E9                                             50                                                2.1322510700871278E-4+5.65533589705278E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -2.129888266128744E-4-5.597776815908292E-4j       nan+nan*1j                                         nan+nan*1j                                         -2.3630980115815198E-7-5.755911716576134E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 6.0E9                                             50                                                2.3772644582255293E-4+5.929343297288947E-4j       -nan-nan*1j                                        -nan-nan*1j                                        -2.3746532437753714E-4-5.86784567482422E-4j       nan+nan*1j                                         nan+nan*1j                                         -2.6114915964768215E-7-6.1497598073463115E-6j     nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 6.4E9                                             50                                                2.624150799890874E-4+6.18518021741468E-4j         -nan-nan*1j                                        -nan-nan*1j                                        -2.62129529461316E-4-6.119767220355796E-4j        nan+nan*1j                                         nan+nan*1j                                         -2.855816318188121E-7-6.5412945336837164E-6j      nan+nan*1j                                         nan+nan*1j
